Sexe;Age;Statut;Occupation;Qualification;Etudie;NombreFS;NombreE;Jardinage;Cuisine;Sport;MinutesTV;LectureBD;MinutesL;EcouteRP;JournalIntime;Taille;Flag_enfant
F;79;Marie;Retraite;Non concerne;Non;10;2;Non;Oui;Non;240,0;Non;0,0;Non;Oui;Pas assez;1
H;49;Marie;Autre inactif;Ouvrier qualifie;Non;1;0;Non;Non;Non;240,0;Non;0,0;Non;Non;Pas assez;0
H;42;Marie;Exerce profession;Employe de bureau;Non;3;3;Oui;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
H;23;Celibataire;Exerce profession;Employe de bureau;Non;0;0;Non;Oui;Oui;8,0;Non;0,0;Non;Non;Comme il faut;0
H;29;Celibataire;Exerce profession;Technicien;Non;1;0;Non;Oui;Oui;120,0;Non;0,0;Non;Non;Pas assez;0
F;58;Divorce;Exerce profession;Employe de bureau;Non;2;2;Non;Non;Non;120,0;Non;0,0;Non;Non;Pas assez;1
F;77;Veuf;Au foyer;Non concerne;Non;5;2;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
H;44;Celibataire;Exerce profession;Non concerne;Non;2;0;Oui;Non;Non;120,0;Non;0,0;Non;Non;Pas assez;0
H;47;Marie;Exerce profession;Profession intermediaire;Non;1;4;Oui;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
F;54;Veuf;Exerce profession;Employe de bureau;Non;0;3;Oui;Oui;Non;240,0;Oui;60,0;Non;Oui;Pas assez;1
F;29;Divorce;Exerce profession;Employe de bureau;Non;1;1;Non;Non;Oui;60,0;Non;0,0;Non;Oui;Comme il faut;1
F;37;Divorce;Exerce profession;Employe de bureau;Non;2;3;Non;Non;Oui;0,0;Non;0,0;Non;Non;Comme il faut;1
F;42;Celibataire;Autre inactif;Employe de bureau;Non;4;6;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
H;47;Marie;Exerce profession;Cadre;Non;0;2;Oui;Non;Oui;300,0;Non;0,0;Non;Non;Comme il faut;1
F;71;Veuf;Retraite;Employe de bureau;Non;11;2;Oui;Oui;Oui;300,0;Non;0,0;Non;Non;Pas assez;1
H;30;Celibataire;Chomeur;Non concerne;Non;1;0;Non;Oui;Oui;60,0;Non;0,0;Non;Non;Comme il faut;0
H;50;Celibataire;Exerce profession;Employe de bureau;Non;3;2;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;28;Celibataire;Exerce profession;Employe de bureau;Reprise de formation;3;0;Non;Non;Non;120,0;Non;0,0;Non;Oui;Comme il faut;0
F;38;Marie;Exerce profession;Employe de bureau;Non;2;1;Non;Non;Oui;180,0;Non;0,0;Non;Non;Pas assez;1
F;41;Marie;Exerce profession;Technicien;Non;6;2;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Pas assez;1
H;55;Divorce;Exerce profession;Cadre;Non;0;1;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
F;19;Celibataire;Etudiant;Non concerne;formation initiale;4;0;Non;Oui;Oui;300,0;Non;0,0;Non;Oui;Pas assez;0
H;55;Marie;Exerce profession;Ouvrier qualifie;Non;2;3;Oui;Non;Non;120,0;Non;0,0;Non;Non;Pas assez;1
F;46;Divorce;Exerce profession;Employe de bureau;Non;0;0;Oui;Non;Oui;60,0;Non;0,0;Non;Non;Comme il faut;0
H;35;Marie;Exerce profession;Employe de bureau;Non;4;3;Oui;Non;Non;180,0;Non;0,0;Non;Non;Pas assez;1
F;44;Divorce;Exerce profession;Employe de bureau;Non;8;2;Oui;Non;Oui;25,71;Non;0,0;Non;Non;Pas assez;1
F;66;Veuf;Autre inactif;Non concerne;Non;7;3;Non;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
H;51;Celibataire;Retraite;Cadre;Non;1;0;Oui;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;0
F;71;Marie;Retraite;Cadre;Non;0;2;Oui;Oui;Oui;120,0;Non;0,0;Non;Oui;Pas assez;1
H;59;Marie;Chomeur;Profession intermediaire;Non;5;1;Non;Oui;Non;240,0;Non;0,0;Non;Non;Comme il faut;1
H;39;Marie;Exerce profession;Profession intermediaire;Non;3;3;Non;Non;Oui;120,0;Non;0,0;Non;Non;Pas assez;1
F;66;Marie;Retraite;Employe de bureau;Non;7;3;Non;Non;Non;300,0;Non;0,0;Non;Non;Comme il faut;1
H;45;Marie;Exerce profession;Ouvrier qualifie;Non;1;2;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;45;Marie;Exerce profession;Employe de bureau;Non;2;2;Oui;Oui;Oui;360,0;Non;0,0;Non;Non;Pas assez;1
F;29;Celibataire;Exerce profession;Employe de bureau;Non;11;1;Non;Non;Non;120,0;Non;0,0;Non;Non;Trop;1
H;26;Celibataire;Exerce profession;Technicien;Non;2;0;Oui;Non;Non;60,0;Non;0,0;Non;Non;Comme il faut;0
H;56;Divorce;Retraite;Ouvrier qualifie;Non;1;6;Non;Non;Non;240,0;Oui;300,0;Non;Non;Comme il faut;1
H;51;Marie;Exerce profession;Ouvrier qualifie;Non;1;1;Oui;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;59;Marie;Autre inactif;Ouvrier specialise;Non;3;2;Non;Oui;Non;240,0;Non;0,0;Non;Non;Comme il faut;1
H;72;Marie;Retraite;Cadre;Non;1;2;Oui;Non;Non;180,0;Oui;120,0;Non;Non;Pas assez;1
H;67;Marie;Retraite;Employe de bureau;Non;1;4;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;52;Marie;Exerce profession;Cadre;Non;3;3;Oui;Oui;Oui;60,0;Non;120,0;Non;Non;Pas assez;1
F;23;Celibataire;Exerce profession;Ouvrier qualifie;formation initiale;3;0;Non;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut;0
H;51;Marie;Exerce profession;Profession intermediaire;Non;3;4;Oui;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
F;59;Divorce;Chomeur;Ouvrier qualifie;Non;5;3;Oui;Non;Non;120,0;Non;0,0;Non;Non;Pas assez;1
F;31;Celibataire;Exerce profession;Employe de bureau;Non;2;1;Non;Oui;Oui;240,0;Non;60,0;Non;Non;Pas assez;1
H;50;Marie;Autre inactif;Non concerne;Non;1;2;Oui;Oui;Non;480,0;Non;34,29;Non;Non;Pas assez;1
F;33;Celibataire;Exerce profession;Employe de bureau;Non;1;0;Non;Non;Oui;120,0;Non;120,0;Non;Oui;Comme il faut;0
H;34;Celibataire;Exerce profession;Technicien;Non;1;0;Oui;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut;0
H;20;Celibataire;Etudiant;Non concerne;formation initiale;3;0;Non;Non;Non;180,0;Non;0,0;Non;Non;Pas assez;0
F;67;Marie;Retraite;Employe de bureau;Non;4;1;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;63;Celibataire;Retraite;Cadre;Non;0;0;Non;Non;Non;300,0;Non;0,0;Non;Non;Comme il faut;0
H;42;Marie;Exerce profession;Cadre;Non;3;1;Non;Oui;Oui;0,0;Non;0,0;Non;Non;Comme il faut;1
F;71;Marie;Retraite;Employe de bureau;Non;1;4;Non;Oui;Non;180,0;Non;0,0;Non;Non;Pas assez;1
H;54;Celibataire;Exerce profession;Cadre;Non;0;0;Oui;Oui;Non;120,0;Non;0,0;Non;Oui;Comme il faut;0
F;68;Veuf;Retraite;Profession intermediaire;Non;3;4;Oui;Non;Non;300,0;Non;0,0;Non;Non;Comme il faut;1
F;37;Marie;Exerce profession;Employe de bureau;Non;4;2;Non;Oui;Oui;0,0;Non;0,0;Non;Non;Comme il faut;1
H;34;Marie;Exerce profession;Cadre;Non;1;0;Non;Non;Oui;180,0;Non;0,0;Oui;Non;Pas assez;0
F;83;Marie;Retraite;Employe de bureau;Non;1;1;Non;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut;1
F;45;Marie;Autre inactif;Non concerne;Non;2;4;Non;Non;Non;0,0;Non;0,0;Non;Oui;Comme il faut;1
F;45;Celibataire;Exerce profession;Ouvrier specialise;Non;5;0;Oui;Non;Non;180,0;Non;0,0;Non;Non;Pas assez;0
H;53;Marie;Exerce profession;Cadre;Non;3;2;Oui;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
H;22;Celibataire;Exerce profession;Ouvrier qualifie;Non;2;0;Non;Non;Non;120,0;Non;0,0;Oui;Non;Comme il faut;0
F;81;Veuf;Au foyer;Non concerne;Non;3;3;Oui;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut;1
F;73;Marie;Retraite;Cadre;Non;0;0;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut;0
H;31;Marie;Exerce profession;Cadre;Non;2;1;Non;Non;Oui;60,0;Non;0,0;Non;Non;Comme il faut;1
F;78;Marie;Retraite;Employe de bureau;Non;0;3;Non;Non;Oui;180,0;Non;0,0;Non;Non;Pas assez;1
F;48;Marie;Exerce profession;Employe de bureau;Non;7;5;Non;Oui;Non;240,0;Non;0,0;Non;Non;Comme il faut;1
F;54;Marie;Exerce profession;Employe de bureau;Non;1;0;Non;Oui;Oui;240,0;Non;0,0;Non;Non;Pas assez;0
F;48;Marie;Exerce profession;Employe de bureau;Non;1;2;Oui;Oui;Non;60,0;Non;0,0;Non;Non;Pas assez;1
F;49;Marie;Exerce profession;Non concerne;Non;4;2;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
F;64;Marie;Retraite;Employe de bureau;Non;1;0;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut;0
F;44;Marie;Exerce profession;Ouvrier specialise;Non;4;2;Non;Non;Non;0,0;Non;0,0;Non;Non;Pas assez;1
F;37;Marie;Exerce profession;Employe de bureau;Non;1;2;Oui;Non;Oui;17,14;Non;0,0;Non;Non;Comme il faut;1
H;49;Celibataire;Exerce profession;Technicien;Non;13;0;Non;Oui;Oui;120,0;Non;0,0;Non;Non;Pas assez;0
H;38;Celibataire;Exerce profession;Ouvrier qualifie;Non;4;4;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;74;Veuf;Retraite;Non concerne;Non;2;4;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
H;50;Marie;Exerce profession;Cadre;Non;1;2;Oui;Non;Non;0,0;Non;0,0;Non;Oui;Comme il faut;1
F;39;Marie;Autre inactif;Ouvrier specialise;Non;9;3;Oui;Oui;Non;300,0;Non;0,0;Non;Non;Comme il faut;1
F;56;Marie;Exerce profession;Employe de bureau;Non;2;2;Oui;Oui;Non;60,0;Non;0,0;Non;Non;Comme il faut;1
H;52;Marie;Exerce profession;Profession intermediaire;Non;0;1;Oui;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
F;84;Veuf;Autre inactif;Non concerne;Non;1;3;Non;Non;Non;300,0;Non;0,0;Non;Non;Comme il faut;1
H;23;Celibataire;Exerce profession;Ouvrier qualifie;Non;2;0;Oui;Oui;Oui;360,0;Non;0,0;Non;Oui;Comme il faut;0
F;46;Marie;Exerce profession;Employe de bureau;Non;4;2;Oui;Oui;Non;120,0;Non;60,0;Non;Non;Comme il faut;1
F;61;Divorce;Retraite;Employe de bureau;Non;2;8;Oui;Oui;Non;240,0;Non;0,0;Non;Non;Pas assez;1
F;37;Celibataire;Exerce profession;Employe de bureau;Non;7;2;Oui;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut;1
H;54;Marie;Exerce profession;Profession intermediaire;Non;1;2;Non;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;63;Marie;Retraite;Cadre;Non;1;2;Oui;Oui;Non;240,0;Non;0,0;Non;Oui;Comme il faut;1
H;54;Marie;Chomeur;Ouvrier qualifie;Non;4;6;Oui;Oui;Non;60,0;Non;0,0;Non;Non;Comme il faut;1
F;19;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Oui;180,0;Non;0,0;Non;Oui;Comme il faut;0
H;61;Marie;Retraite;Ouvrier qualifie;Non;4;4;Oui;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
F;67;Divorce;Retraite;Employe de bureau;Non;2;3;Non;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut;1
H;36;Marie;Exerce profession;Ouvrier qualifie;Non;4;6;Oui;Non;Non;300,0;Non;0,0;Non;Non;Comme il faut;1
F;52;Marie;Exerce profession;Profession intermediaire;Non;4;2;Oui;Non;Non;0,0;Non;0,0;Non;Oui;Comme il faut;1
H;33;Marie;Exerce profession;Non concerne;Non;2;2;Oui;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
F;20;Celibataire;Etudiant;Employe de bureau;Reprise de formation;3;0;Non;Oui;Non;42,86;Non;0,0;Non;Oui;Comme il faut;0
H;45;Marie;Exerce profession;Cadre;Non;3;2;Oui;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
H;47;Marie;Exerce profession;Technicien;Non;3;2;Non;Non;Non;300,0;Non;0,0;Oui;Non;Comme il faut;1
H;45;Marie;Exerce profession;Cadre;Non;8;3;Non;Oui;Oui;120,0;Non;60,0;Non;Non;Comme il faut;1
H;52;Marie;Exerce profession;Cadre;Non;2;1;Non;Non;Non;240,0;Non;0,0;Non;Non;Comme il faut;1
H;41;Celibataire;Exerce profession;Ouvrier qualifie;Non;5;0;Non;Non;Non;60,0;Non;0,0;Non;Non;Comme il faut;0
F;49;Veuf;Exerce profession;Employe de bureau;Non;9;2;Non;Non;Oui;120,0;Non;0,0;Non;Non;Pas assez;1
F;37;Celibataire;Exerce profession;Employe de bureau;Non;6;1;Oui;Oui;Oui;180,0;Non;0,0;Non;Non;Comme il faut;1
F;43;Divorce;Exerce profession;Employe de bureau;Non;2;2;Oui;Oui;Non;180,0;Non;51,43;Non;Non;Comme il faut;1
F;36;Marie;Exerce profession;Cadre;Non;2;2;Oui;Non;Non;60,0;Non;0,0;Non;Non;Comme il faut;1
H;52;Marie;Exerce profession;Cadre;Non;2;3;Oui;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
F;45;Marie;Exerce profession;Employe de bureau;Non;4;2;Oui;Oui;Oui;240,0;Non;0,0;Non;Non;Pas assez;1
F;29;Celibataire;Chomeur;Employe de bureau;Non;7;0;Non;Oui;Non;120,0;Non;0,0;Non;Non;Pas assez;0
F;70;Marie;Autre inactif;Non concerne;Non;1;4;Oui;Non;Non;240,0;Non;0,0;Non;Non;Pas assez;1
F;34;Divorce;Exerce profession;Employe de bureau;Non;1;0;Non;Oui;Oui;60,0;Non;0,0;Oui;Oui;Pas assez;0
H;40;Marie;Chomeur;Ouvrier qualifie;Non;4;2;Non;Non;Non;120,0;Non;120,0;Non;Non;Comme il faut;1
H;61;Marie;Retraite;Cadre;Non;5;4;Non;Non;Oui;120,0;Non;120,0;Non;Non;Comme il faut;1
F;71;Veuf;Retraite;Employe de bureau;Non;3;3;Non;Oui;Non;0,0;Non;0,0;Non;Non;Pas assez;1
F;29;Marie;Autre inactif;Employe de bureau;Non;2;2;Non;Oui;Oui;60,0;Non;0,0;Non;Oui;Pas assez;1
F;75;Marie;Retraite;Ouvrier qualifie;Non;9;2;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Pas assez;1
H;27;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Non;Oui;60,0;Non;0,0;Non;Oui;Comme il faut;0
H;18;Celibataire;Chomeur;Non concerne;Non;2;0;Non;Non;Non;60,0;Non;0,0;Non;Non;Comme il faut;0
H;54;Marie;Exerce profession;Ouvrier qualifie;Non;11;3;Oui;Non;Non;240,0;Non;0,0;Non;Non;Comme il faut;1
F;51;Divorce;Exerce profession;Employe de bureau;Non;8;4;Oui;Non;Non;222,86;Non;0,0;Non;Non;Pas assez;1
F;49;Celibataire;Exerce profession;Profession intermediaire;Non;1;1;Non;Oui;Non;60,0;Non;120,0;Non;Non;Pas assez;1
H;49;Marie;Exerce profession;Cadre;Non;3;2;Oui;Non;Oui;180,0;Non;0,0;Non;Non;Pas assez;1
F;49;Divorce;Chomeur;Cadre;Non;9;4;Non;Non;Oui;300,0;Non;180,0;Non;Non;Comme il faut;1
H;53;Marie;Exerce profession;Ouvrier specialise;Non;8;5;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;24;Celibataire;Exerce profession;Profession intermediaire;Non;2;0;Non;Oui;Oui;120,0;Non;0,0;Non;Oui;Comme il faut;0
H;48;Marie;Exerce profession;Profession intermediaire;Non;0;2;Oui;Non;Oui;60,0;Non;0,0;Non;Non;Comme il faut;1
F;34;Celibataire;Etudiant;Employe de bureau;Reprise de formation;2;0;Non;Non;Oui;180,0;Non;0,0;Non;Non;Comme il faut;0
H;53;Marie;Autre inactif;Employe de bureau;Non;3;2;Non;Non;Non;360,0;Non;0,0;Non;Non;Comme il faut;1
H;28;Celibataire;Exerce profession;Profession intermediaire;Non;1;1;Non;Non;Oui;120,0;Oui;120,0;Non;Oui;Comme il faut;1
F;48;Divorce;Chomeur;Autre;Non;16;1;Non;Non;Non;240,0;Non;0,0;Non;Oui;Comme il faut;1
H;71;Marie;Retraite;Cadre;Non;2;3;Non;Non;Non;120,0;Non;0,0;Non;Non;Pas assez;1
F;39;Celibataire;Chomeur;Technicien;Non;2;2;Non;Non;Oui;120,0;Non;0,0;Non;Oui;Comme il faut;1
H;21;Celibataire;Chomeur;Ouvrier specialise;Non;3;0;Oui;Oui;Oui;180,0;Non;0,0;Non;Non;Pas assez;0
F;63;Celibataire;Retraite;Cadre;Non;3;0;Non;Non;Oui;0,0;Non;0,0;Non;Oui;Comme il faut;0
F;38;Marie;Exerce profession;Employe de bureau;Non;8;2;Non;Oui;Non;0,0;Non;0,0;Non;Oui;Comme il faut;1
H;65;Marie;Exerce profession;Autre;Non;11;4;Oui;Non;Oui;60,0;Non;0,0;Non;Non;Comme il faut;1
F;47;Marie;Exerce profession;Technicien;Non;7;7;Non;Oui;Non;0,0;Non;0,0;Non;Non;Trop;1
H;48;Divorce;Chomeur;Ouvrier specialise;Non;2;1;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;35;Celibataire;Exerce profession;Cadre;Non;2;0;Non;Oui;Oui;120,0;Non;0,0;Oui;Oui;Pas assez;0
H;54;Marie;Exerce profession;Profession intermediaire;Non;2;2;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
H;59;Marie;Exerce profession;Non concerne;Non;10;2;Non;Non;Oui;180,0;Non;0,0;Non;Non;Comme il faut;1
F;78;Marie;Autre inactif;Non concerne;Non;2;3;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;32;Celibataire;Exerce profession;Employe de bureau;Non;1;0;Oui;Oui;Oui;60,0;Non;0,0;Non;Non;Comme il faut;0
F;37;Marie;Exerce profession;Non concerne;Non;1;2;Oui;Non;Oui;180,0;Non;0,0;Non;Non;Comme il faut;1
H;22;Celibataire;Exerce profession;Ouvrier specialise;Non;4;0;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;0
H;72;Marie;Retraite;Ouvrier qualifie;Non;5;2;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
H;27;Celibataire;Chomeur;Cadre;Non;0;0;Non;Non;Oui;60,0;Non;0,0;Non;Non;Pas assez;0
F;73;Marie;Retraite;Non concerne;Non;3;4;Non;Oui;Non;240,0;Non;120,0;Non;Oui;Comme il faut;1
F;39;Celibataire;Exerce profession;Cadre;Non;2;0;Oui;Oui;Non;85,71;Non;0,0;Non;Oui;Comme il faut;0
F;67;Veuf;Autre inactif;Ouvrier specialise;Non;4;6;Non;Non;Non;360,0;Non;0,0;Non;Non;Pas assez;1
F;25;Celibataire;Exerce profession;Employe de bureau;Non;6;0;Oui;Oui;Oui;60,0;Non;0,0;Non;Non;Pas assez;0
F;58;Divorce;Autre inactif;Ouvrier specialise;Non;5;4;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Pas assez;1
F;75;Marie;Autre inactif;Non concerne;Non;8;3;Non;Oui;Non;240,0;Non;25,71;Non;Oui;Comme il faut;1
F;58;Marie;Autre inactif;Autre;Non;6;5;Non;Oui;Non;240,0;Non;60,0;Non;Oui;Comme il faut;1
F;19;Celibataire;Etudiant;Non concerne;formation initiale;2;0;Non;Non;Oui;17,14;Non;0,0;Oui;Oui;Trop;0
F;58;Marie;Autre inactif;Technicien;Non;1;2;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
H;24;Celibataire;Chomeur;Employe de bureau;Non;7;0;Non;Non;Oui;180,0;Non;0,0;Non;Non;Pas assez;0
F;18;Celibataire;Etudiant;Non concerne;formation initiale;2;0;Oui;Oui;Non;0,0;Non;0,0;Non;Non;Comme il faut;0
H;88;Marie;Retraite;Ouvrier qualifie;Non;8;3;Non;Non;Non;120,0;Non;0,0;Non;Non;Pas assez;1
H;40;Marie;Exerce profession;Technicien;Non;2;2;Oui;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
F;64;Marie;Retraite;Cadre;Non;3;0;Oui;Oui;Oui;120,0;Non;60,0;Non;Non;Comme il faut;0
F;63;Marie;Chomeur;Employe de bureau;Non;1;3;Non;Oui;Non;60,0;Non;0,0;Non;Non;Pas assez;1
F;19;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Oui;Oui;180,0;Non;0,0;Non;Oui;Comme il faut;0
F;87;Veuf;Retraite;Ouvrier specialise;Non;3;3;Non;Non;Non;180,0;Non;34,29;Non;Non;Comme il faut;1
H;57;Marie;Exerce profession;Employe de bureau;Non;0;2;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
H;86;Marie;Au foyer;Non concerne;Non;1;1;Oui;Non;Non;240,0;Non;0,0;Non;Non;Comme il faut;1
F;33;Marie;Exerce profession;Ouvrier specialise;Non;3;2;Oui;Oui;Non;17,14;Non;0,0;Non;Oui;Comme il faut;1
H;62;Divorce;Retraite;Cadre;Non;1;2;Oui;Oui;Oui;0,0;Non;0,0;Non;Non;Comme il faut;1
H;74;Marie;Retraite;Ouvrier qualifie;Non;2;4;Non;Non;Non;240,0;Non;0,0;Non;Non;Comme il faut;1
H;50;Divorce;Exerce profession;Profession intermediaire;Non;2;1;Oui;Non;Non;8,57;Oui;60,0;Non;Non;Comme il faut;1
F;31;Marie;Exerce profession;Employe de bureau;Non;3;2;Oui;Oui;Oui;120,0;Non;60,0;Non;Non;Comme il faut;1
F;35;Celibataire;Exerce profession;Employe de bureau;Non;1;0;Non;Oui;Oui;68,57;Non;0,0;Oui;Non;Comme il faut;0
H;42;Celibataire;Exerce profession;Employe de bureau;Non;1;3;Oui;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
F;40;Marie;Exerce profession;Employe de bureau;Non;1;1;Oui;Non;Non;240,0;Non;0,0;Non;Non;Comme il faut;1
H;45;Marie;Exerce profession;Profession intermediaire;Non;2;1;Oui;Non;Oui;180,0;Non;0,0;Non;Non;Pas assez;1
F;41;Marie;Exerce profession;Profession intermediaire;Non;4;2;Non;Oui;Non;120,0;Non;0,0;Non;Non;Trop;1
H;21;Celibataire;Exerce profession;Ouvrier specialise;Non;4;0;Non;Non;Non;120,0;Non;0,0;Non;Non;Pas assez;0
H;39;Marie;Exerce profession;Cadre;Non;2;1;Non;Non;Oui;0,0;Non;0,0;Non;Non;Comme il faut;1
F;66;Marie;Retraite;Employe de bureau;Non;7;2;Oui;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
F;58;Marie;Retraite;Cadre;Non;2;2;Non;Oui;Oui;120,0;Non;180,0;Non;Oui;Pas assez;1
H;42;Celibataire;Exerce profession;Ouvrier qualifie;Non;1;3;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;55;Divorce;Retraite;Employe de bureau;Non;4;3;Non;Oui;Oui;180,0;Non;0,0;Non;Oui;Comme il faut;1
H;75;Marie;Au foyer;Non concerne;Non;2;5;Oui;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
F;73;Celibataire;Retraite;Employe de bureau;Non;4;0;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Pas assez;0
H;45;Celibataire;Autre inactif;Ouvrier specialise;Non;5;0;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut;0
F;39;Marie;Autre inactif;Ouvrier specialise;Non;5;3;Non;Non;Non;300,0;Non;0,0;Non;Non;Pas assez;1
H;51;Marie;Exerce profession;Profession intermediaire;Non;5;2;Non;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
H;46;Celibataire;Chomeur;Ouvrier specialise;Non;2;2;Non;Non;Non;240,0;Non;0,0;Non;Non;Comme il faut;1
F;29;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Oui;Oui;25,71;Non;0,0;Non;Non;Comme il faut;0
H;29;Celibataire;Exerce profession;Profession intermediaire;Non;3;0;Non;Oui;Oui;60,0;Non;0,0;Non;Oui;Pas assez;0
F;38;Celibataire;Autre inactif;Ouvrier qualifie;Non;4;6;Non;Non;Non;300,0;Non;60,0;Non;Non;Comme il faut;1
F;47;Marie;Autre inactif;Ouvrier qualifie;Non;6;3;Oui;Oui;Non;300,0;Non;0,0;Non;Oui;Pas assez;1
H;51;Marie;Exerce profession;Cadre;Non;2;2;Oui;Non;Oui;180,0;Non;42,86;Non;Non;Comme il faut;1
H;40;Celibataire;Autre inactif;Technicien;Non;2;0;Non;Non;Oui;240,0;Non;0,0;Non;Non;Comme il faut;0
H;42;Celibataire;Exerce profession;Cadre;Non;2;0;Oui;Oui;Non;17,14;Non;0,0;Non;Oui;Comme il faut;0
H;39;Marie;Exerce profession;Ouvrier qualifie;Non;1;3;Non;Oui;Non;171,43;Non;0,0;Non;Non;Comme il faut;1
H;57;Marie;Exerce profession;Non concerne;Non;1;2;Oui;Oui;Non;42,86;Non;0,0;Non;Non;Pas assez;1
F;77;Marie;Retraite;Ouvrier qualifie;Non;2;4;Non;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
F;72;Divorce;Retraite;Ouvrier qualifie;Non;3;2;Non;Non;Non;480,0;Non;0,0;Non;Non;Pas assez;1
H;43;Celibataire;Chomeur;Ouvrier specialise;Non;4;1;Oui;Non;Oui;0,0;Non;0,0;Non;Non;Comme il faut;1
H;50;Veuf;Exerce profession;Employe de bureau;Non;3;2;Oui;Oui;Oui;60,0;Non;0,0;Non;Non;Comme il faut;1
H;47;Marie;Exerce profession;Ouvrier qualifie;Non;3;1;Oui;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut;1
F;31;Celibataire;Exerce profession;Employe de bureau;Non;4;1;Non;Non;Oui;60,0;Non;0,0;Non;Non;Comme il faut;1
F;40;Divorce;Exerce profession;Cadre;Non;3;2;Oui;Non;Non;42,86;Non;0,0;Non;Oui;Comme il faut;1
F;34;Marie;Exerce profession;Non concerne;Non;6;2;Oui;Oui;Oui;120,0;Non;0,0;Non;Oui;Pas assez;1
F;20;Celibataire;Etudiant;Non concerne;formation initiale;5;0;Non;Oui;Non;0,0;Non;0,0;Non;Non;Pas assez;0
F;68;Marie;Retraite;Non concerne;Non;2;1;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut;1
F;88;Veuf;Autre inactif;Non concerne;Non;2;3;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut;1
H;59;Marie;Retraite;Ouvrier qualifie;Non;3;4;Non;Non;Oui;0,0;Non;0,0;Non;Non;Comme il faut;1
F;37;Marie;Autre inactif;Non concerne;Non;2;3;Non;Non;Non;120,0;Non;0,0;Non;Oui;Comme il faut;1
